Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-09-20,Breakfast,421.5,13.7,2.7,0.1,0.0,0.0,0.0,38.3,422.4,62.0,5.4,20.9,16.5,5.0,17.1,0.6,1.7,
2023-09-20,Dinner,767.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6,0.0,0.0,50.6,0.0,0.0,0.0,0.0,
2023-09-20,Lunch,1183.0,54.6,5.4,11.0,0.0,0.0,0.0,0.6,0.0,129.6,12.8,13.5,47.8,0.0,0.0,0.0,0.0,
2023-09-20,Snacks,1142.8,64.5,12.0,0.0,0.0,0.3,12.2,128.0,684.4,64.1,6.6,17.5,84.3,0.0,116.2,290.0,15.1,
2023-09-21,Breakfast,374.5,12.4,2.0,0.0,0.0,0.0,0.0,36.8,0.0,55.2,3.9,6.0,14.3,0.0,0.0,0.0,0.0,
2023-09-21,Dinner,864.0,39.1,0.0,0.0,0.0,0.0,0.0,1610.0,0.0,58.4,0.0,0.0,63.4,0.0,0.0,0.0,0.0,
2023-09-21,Lunch,909.5,45.9,7.8,0.0,0.0,0.0,0.0,1.4,0.0,98.0,14.0,10.8,33.8,0.0,0.0,0.0,0.0,
2023-09-21,Snacks,990.8,56.4,8.2,0.0,0.0,0.0,1.1,120.0,518.4,60.8,6.6,14.2,69.3,0.0,116.2,288.5,10.7,
2023-09-22,Breakfast,600.4,15.6,2.7,0.0,0.0,0.0,0.5,37.1,362.1,84.4,7.9,18.7,37.9,0.0,116.2,130.2,0.7,
2023-09-22,Dinner,950.0,51.7,0.0,0.0,0.0,0.0,0.0,2683.4,0.0,33.3,0.0,0.0,83.3,0.0,0.0,0.0,0.0,
2023-09-22,Lunch,614.5,30.8,2.4,0.0,0.0,0.0,0.0,1.1,0.0,67.9,9.8,1.9,21.7,0.0,0.0,0.0,0.0,
2023-09-22,Snacks,905.3,32.3,5.3,6.0,14.6,0.0,427.1,33.3,762.9,36.7,3.5,3.5,68.0,0.0,0.0,296.4,5.8,
2023-09-23,Breakfast,701.0,27.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,87.5,2.5,0.0,27.0,0.0,0.0,0.0,0.0,
2023-09-23,Dinner,1000.0,20.0,0.0,0.0,0.0,0.0,20.0,300.0,0.0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,
2023-09-23,Lunch,1138.3,14.3,2.0,2.0,0.0,0.0,233.3,1789.4,0.0,94.0,5.3,38.0,101.3,0.0,16.7,6.7,26.7,
2023-09-23,Snacks,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,51.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,
2023-09-24,Breakfast,790.0,33.7,2.2,0.0,0.0,0.0,0.0,840.0,0.0,92.6,0.6,3.8,26.3,0.0,0.0,0.0,0.0,
2023-09-24,Dinner,860.0,50.0,14.0,0.0,0.0,0.0,90.0,1900.0,0.0,70.0,4.0,2.0,34.0,20.0,8.0,30.0,20.0,
2023-09-24,Lunch,888.1,24.4,8.7,3.5,8.9,0.0,0.0,114.3,560.8,76.6,9.9,116.0,54.4,8.0,61.0,9.6,7.8,
2023-09-24,Snacks,576.9,22.7,2.0,5.6,9.9,0.0,1.1,116.5,508.0,19.3,3.9,2.5,79.2,0.0,0.0,290.8,9.4,
2023-09-25,Breakfast,462.3,18.9,1.5,0.3,0.2,0.0,24.0,749.3,175.6,45.5,1.9,9.1,28.5,0.0,0.1,0.0,0.2,
2023-09-25,Dinner,1095.0,64.3,0.0,0.0,0.0,0.0,0.0,2146.6,0.0,47.7,0.0,0.0,74.7,0.0,0.0,0.0,0.0,
2023-09-25,Lunch,688.0,12.4,2.3,0.3,0.2,0.0,24.0,749.0,172.0,83.9,1.9,35.6,58.9,0.0,0.0,0.0,0.0,
2023-09-25,Snacks,1057.8,38.1,12.9,0.0,0.0,0.1,4.8,156.0,518.4,89.9,4.1,15.3,93.0,0.0,116.2,288.5,10.7,
2023-09-26,Breakfast,445.0,11.3,1.6,0.3,0.2,0.0,24.0,749.0,172.0,68.2,4.4,3.4,21.5,0.0,0.0,0.0,0.0,
2023-09-26,Dinner,842.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,
2023-09-26,Lunch,321.0,10.9,1.5,0.3,0.2,0.0,24.0,749.0,172.0,35.7,1.9,3.4,20.5,0.0,0.0,0.0,0.0,
2023-09-26,Snacks,1131.2,40.9,18.1,8.0,3.4,0.0,66.1,2159.0,281.3,127.7,4.9,41.3,71.3,0.0,0.0,281.3,0.0,
2023-09-27,Breakfast,124.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,32.5,2.5,0.0,1.0,0.0,0.0,0.0,0.0,
